,id,label,uri
124,01985128-n,"crayfish, crawfish, crawdad, crawdaddy",http://wordnet-rdf.princeton.edu/wn30/01985128-n
125,01986214-n,hermit crab,http://wordnet-rdf.princeton.edu/wn30/01986214-n
126,01990800-n,isopod,http://wordnet-rdf.princeton.edu/wn30/01990800-n
127,02002556-n,"white stork, Ciconia ciconia",http://wordnet-rdf.princeton.edu/wn30/02002556-n
128,02002724-n,"black stork, Ciconia nigra",http://wordnet-rdf.princeton.edu/wn30/02002724-n
129,02006656-n,spoonbill,http://wordnet-rdf.princeton.edu/wn30/02006656-n
130,02007558-n,flamingo,http://wordnet-rdf.princeton.edu/wn30/02007558-n
131,02009229-n,"little blue heron, Egretta caerulea",http://wordnet-rdf.princeton.edu/wn30/02009229-n
132,02009912-n,"American egret, great white heron, Egretta albus",http://wordnet-rdf.princeton.edu/wn30/02009912-n
133,02011460-n,bittern,http://wordnet-rdf.princeton.edu/wn30/02011460-n
134,03126707-n,crane,http://wordnet-rdf.princeton.edu/wn30/03126707-n
135,02013706-n,"limpkin, Aramus pictus",http://wordnet-rdf.princeton.edu/wn30/02013706-n
136,02017213-n,"European gallinule, Porphyrio porphyrio",http://wordnet-rdf.princeton.edu/wn30/02017213-n
137,02018207-n,"American coot, marsh hen, mud hen, water hen, Fulica americana",http://wordnet-rdf.princeton.edu/wn30/02018207-n
138,02018795-n,bustard,http://wordnet-rdf.princeton.edu/wn30/02018795-n
139,02025239-n,"ruddy turnstone, Arenaria interpres",http://wordnet-rdf.princeton.edu/wn30/02025239-n
140,02027492-n,"red-backed sandpiper, dunlin, Erolia alpina",http://wordnet-rdf.princeton.edu/wn30/02027492-n
141,02028035-n,"redshank, Tringa totanus",http://wordnet-rdf.princeton.edu/wn30/02028035-n
142,02033041-n,dowitcher,http://wordnet-rdf.princeton.edu/wn30/02033041-n
143,02037110-n,"oystercatcher, oyster catcher",http://wordnet-rdf.princeton.edu/wn30/02037110-n
144,02051845-n,pelican,http://wordnet-rdf.princeton.edu/wn30/02051845-n
145,02056570-n,"king penguin, Aptenodytes patagonica",http://wordnet-rdf.princeton.edu/wn30/02056570-n
146,02058221-n,"albatross, mollymawk",http://wordnet-rdf.princeton.edu/wn30/02058221-n
147,02066245-n,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",http://wordnet-rdf.princeton.edu/wn30/02066245-n
148,02071294-n,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",http://wordnet-rdf.princeton.edu/wn30/02071294-n
149,02074367-n,"dugong, Dugong dugon",http://wordnet-rdf.princeton.edu/wn30/02074367-n
150,02077923-n,sea lion,http://wordnet-rdf.princeton.edu/wn30/02077923-n
151,02085620-n,Chihuahua,http://wordnet-rdf.princeton.edu/wn30/02085620-n
152,02085782-n,Japanese spaniel,http://wordnet-rdf.princeton.edu/wn30/02085782-n
153,02085936-n,"Maltese dog, Maltese terrier, Maltese",http://wordnet-rdf.princeton.edu/wn30/02085936-n
154,02086079-n,"Pekinese, Pekingese, Peke",http://wordnet-rdf.princeton.edu/wn30/02086079-n
155,02086240-n,Shih-Tzu,http://wordnet-rdf.princeton.edu/wn30/02086240-n
156,02086646-n,Blenheim spaniel,http://wordnet-rdf.princeton.edu/wn30/02086646-n
157,02086910-n,papillon,http://wordnet-rdf.princeton.edu/wn30/02086910-n
158,02087046-n,toy terrier,http://wordnet-rdf.princeton.edu/wn30/02087046-n
159,02087394-n,Rhodesian ridgeback,http://wordnet-rdf.princeton.edu/wn30/02087394-n
160,02088094-n,"Afghan hound, Afghan",http://wordnet-rdf.princeton.edu/wn30/02088094-n
161,02088238-n,"basset, basset hound",http://wordnet-rdf.princeton.edu/wn30/02088238-n
162,02088364-n,beagle,http://wordnet-rdf.princeton.edu/wn30/02088364-n
163,02088466-n,"bloodhound, sleuthhound",http://wordnet-rdf.princeton.edu/wn30/02088466-n
164,02088632-n,bluetick,http://wordnet-rdf.princeton.edu/wn30/02088632-n
165,02089078-n,black-and-tan coonhound,http://wordnet-rdf.princeton.edu/wn30/02089078-n
166,02089867-n,"Walker hound, Walker foxhound",http://wordnet-rdf.princeton.edu/wn30/02089867-n
167,02089973-n,English foxhound,http://wordnet-rdf.princeton.edu/wn30/02089973-n
168,02090379-n,redbone,http://wordnet-rdf.princeton.edu/wn30/02090379-n
169,02090622-n,"borzoi, Russian wolfhound",http://wordnet-rdf.princeton.edu/wn30/02090622-n
170,02090721-n,Irish wolfhound,http://wordnet-rdf.princeton.edu/wn30/02090721-n
171,02091032-n,Italian greyhound,http://wordnet-rdf.princeton.edu/wn30/02091032-n
172,02091134-n,whippet,http://wordnet-rdf.princeton.edu/wn30/02091134-n
173,02091244-n,"Ibizan hound, Ibizan Podenco",http://wordnet-rdf.princeton.edu/wn30/02091244-n
174,02091467-n,"Norwegian elkhound, elkhound",http://wordnet-rdf.princeton.edu/wn30/02091467-n
175,02091635-n,"otterhound, otter hound",http://wordnet-rdf.princeton.edu/wn30/02091635-n
176,02091831-n,"Saluki, gazelle hound",http://wordnet-rdf.princeton.edu/wn30/02091831-n
177,02092002-n,"Scottish deerhound, deerhound",http://wordnet-rdf.princeton.edu/wn30/02092002-n
178,02092339-n,Weimaraner,http://wordnet-rdf.princeton.edu/wn30/02092339-n
179,02093256-n,"Staffordshire bullterrier, Staffordshire bull terrier",http://wordnet-rdf.princeton.edu/wn30/02093256-n
180,02093428-n,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",http://wordnet-rdf.princeton.edu/wn30/02093428-n
181,02093647-n,Bedlington terrier,http://wordnet-rdf.princeton.edu/wn30/02093647-n
182,02093754-n,Border terrier,http://wordnet-rdf.princeton.edu/wn30/02093754-n
183,02093859-n,Kerry blue terrier,http://wordnet-rdf.princeton.edu/wn30/02093859-n
184,02093991-n,Irish terrier,http://wordnet-rdf.princeton.edu/wn30/02093991-n
185,02094114-n,Norfolk terrier,http://wordnet-rdf.princeton.edu/wn30/02094114-n
186,02094258-n,Norwich terrier,http://wordnet-rdf.princeton.edu/wn30/02094258-n
187,02094433-n,Yorkshire terrier,http://wordnet-rdf.princeton.edu/wn30/02094433-n
188,02095314-n,wire-haired fox terrier,http://wordnet-rdf.princeton.edu/wn30/02095314-n
189,02095570-n,Lakeland terrier,http://wordnet-rdf.princeton.edu/wn30/02095570-n
190,02095889-n,"Sealyham terrier, Sealyham",http://wordnet-rdf.princeton.edu/wn30/02095889-n
191,02096051-n,"Airedale, Airedale terrier",http://wordnet-rdf.princeton.edu/wn30/02096051-n
192,02096177-n,"cairn, cairn terrier",http://wordnet-rdf.princeton.edu/wn30/02096177-n
193,02096294-n,Australian terrier,http://wordnet-rdf.princeton.edu/wn30/02096294-n
194,02096437-n,"Dandie Dinmont, Dandie Dinmont terrier",http://wordnet-rdf.princeton.edu/wn30/02096437-n
195,02096585-n,"Boston bull, Boston terrier",http://wordnet-rdf.princeton.edu/wn30/02096585-n
196,02097047-n,miniature schnauzer,http://wordnet-rdf.princeton.edu/wn30/02097047-n
197,02097130-n,giant schnauzer,http://wordnet-rdf.princeton.edu/wn30/02097130-n
198,02097209-n,standard schnauzer,http://wordnet-rdf.princeton.edu/wn30/02097209-n
199,02097298-n,"Scotch terrier, Scottish terrier, Scottie",http://wordnet-rdf.princeton.edu/wn30/02097298-n
200,02097474-n,"Tibetan terrier, chrysanthemum dog",http://wordnet-rdf.princeton.edu/wn30/02097474-n
201,02097658-n,"silky terrier, Sydney silky",http://wordnet-rdf.princeton.edu/wn30/02097658-n
202,02098105-n,soft-coated wheaten terrier,http://wordnet-rdf.princeton.edu/wn30/02098105-n
203,02098286-n,West Highland white terrier,http://wordnet-rdf.princeton.edu/wn30/02098286-n
204,02098413-n,"Lhasa, Lhasa apso",http://wordnet-rdf.princeton.edu/wn30/02098413-n
205,02099267-n,flat-coated retriever,http://wordnet-rdf.princeton.edu/wn30/02099267-n
206,02099429-n,curly-coated retriever,http://wordnet-rdf.princeton.edu/wn30/02099429-n
207,02099601-n,golden retriever,http://wordnet-rdf.princeton.edu/wn30/02099601-n
208,02099712-n,Labrador retriever,http://wordnet-rdf.princeton.edu/wn30/02099712-n
209,02099849-n,Chesapeake Bay retriever,http://wordnet-rdf.princeton.edu/wn30/02099849-n
210,02100236-n,German short-haired pointer,http://wordnet-rdf.princeton.edu/wn30/02100236-n
211,02100583-n,"vizsla, Hungarian pointer",http://wordnet-rdf.princeton.edu/wn30/02100583-n
212,02100735-n,English setter,http://wordnet-rdf.princeton.edu/wn30/02100735-n
213,02100877-n,"Irish setter, red setter",http://wordnet-rdf.princeton.edu/wn30/02100877-n
214,02101006-n,Gordon setter,http://wordnet-rdf.princeton.edu/wn30/02101006-n
215,02101388-n,Brittany spaniel,http://wordnet-rdf.princeton.edu/wn30/02101388-n
216,02101556-n,"clumber, clumber spaniel",http://wordnet-rdf.princeton.edu/wn30/02101556-n
217,02102040-n,"English springer, English springer spaniel",http://wordnet-rdf.princeton.edu/wn30/02102040-n
218,02102177-n,Welsh springer spaniel,http://wordnet-rdf.princeton.edu/wn30/02102177-n
219,02102318-n,"cocker spaniel, English cocker spaniel, cocker",http://wordnet-rdf.princeton.edu/wn30/02102318-n
220,02102480-n,Sussex spaniel,http://wordnet-rdf.princeton.edu/wn30/02102480-n
221,02102973-n,Irish water spaniel,http://wordnet-rdf.princeton.edu/wn30/02102973-n
222,02104029-n,kuvasz,http://wordnet-rdf.princeton.edu/wn30/02104029-n
223,02104365-n,schipperke,http://wordnet-rdf.princeton.edu/wn30/02104365-n
224,02105056-n,groenendael,http://wordnet-rdf.princeton.edu/wn30/02105056-n
225,02105162-n,malinois,http://wordnet-rdf.princeton.edu/wn30/02105162-n
226,02105251-n,briard,http://wordnet-rdf.princeton.edu/wn30/02105251-n
227,02105412-n,kelpie,http://wordnet-rdf.princeton.edu/wn30/02105412-n
228,02105505-n,komondor,http://wordnet-rdf.princeton.edu/wn30/02105505-n
229,02105641-n,"Old English sheepdog, bobtail",http://wordnet-rdf.princeton.edu/wn30/02105641-n
230,02105855-n,"Shetland sheepdog, Shetland sheep dog, Shetland",http://wordnet-rdf.princeton.edu/wn30/02105855-n
231,02106030-n,collie,http://wordnet-rdf.princeton.edu/wn30/02106030-n
232,02106166-n,Border collie,http://wordnet-rdf.princeton.edu/wn30/02106166-n
233,02106382-n,"Bouvier des Flandres, Bouviers des Flandres",http://wordnet-rdf.princeton.edu/wn30/02106382-n
234,02106550-n,Rottweiler,http://wordnet-rdf.princeton.edu/wn30/02106550-n
235,02106662-n,"German shepherd, German shepherd dog, German police dog, alsatian",http://wordnet-rdf.princeton.edu/wn30/02106662-n
236,02107142-n,"Doberman, Doberman pinscher",http://wordnet-rdf.princeton.edu/wn30/02107142-n
237,02107312-n,miniature pinscher,http://wordnet-rdf.princeton.edu/wn30/02107312-n
238,02107574-n,Greater Swiss Mountain dog,http://wordnet-rdf.princeton.edu/wn30/02107574-n
239,02107683-n,Bernese mountain dog,http://wordnet-rdf.princeton.edu/wn30/02107683-n
240,02107908-n,Appenzeller,http://wordnet-rdf.princeton.edu/wn30/02107908-n
241,02108000-n,EntleBucher,http://wordnet-rdf.princeton.edu/wn30/02108000-n
242,02108089-n,boxer,http://wordnet-rdf.princeton.edu/wn30/02108089-n
243,02108422-n,bull mastiff,http://wordnet-rdf.princeton.edu/wn30/02108422-n
244,02108551-n,Tibetan mastiff,http://wordnet-rdf.princeton.edu/wn30/02108551-n
245,02108915-n,French bulldog,http://wordnet-rdf.princeton.edu/wn30/02108915-n
246,02109047-n,Great Dane,http://wordnet-rdf.princeton.edu/wn30/02109047-n
247,02109525-n,"Saint Bernard, St Bernard",http://wordnet-rdf.princeton.edu/wn30/02109525-n
248,02109961-n,"Eskimo dog, husky",http://wordnet-rdf.princeton.edu/wn30/02109961-n
249,02110063-n,"malamute, malemute, Alaskan malamute",http://wordnet-rdf.princeton.edu/wn30/02110063-n
250,02110185-n,Siberian husky,http://wordnet-rdf.princeton.edu/wn30/02110185-n
251,02110341-n,"dalmatian, coach dog, carriage dog",http://wordnet-rdf.princeton.edu/wn30/02110341-n
252,02110627-n,"affenpinscher, monkey pinscher, monkey dog",http://wordnet-rdf.princeton.edu/wn30/02110627-n
253,02110806-n,basenji,http://wordnet-rdf.princeton.edu/wn30/02110806-n
254,02110958-n,"pug, pug-dog",http://wordnet-rdf.princeton.edu/wn30/02110958-n
255,02111129-n,Leonberg,http://wordnet-rdf.princeton.edu/wn30/02111129-n
256,02111277-n,"Newfoundland, Newfoundland dog",http://wordnet-rdf.princeton.edu/wn30/02111277-n
257,02111500-n,Great Pyrenees,http://wordnet-rdf.princeton.edu/wn30/02111500-n
258,02111889-n,"Samoyed, Samoyede",http://wordnet-rdf.princeton.edu/wn30/02111889-n
259,02112018-n,Pomeranian,http://wordnet-rdf.princeton.edu/wn30/02112018-n
260,02112137-n,"chow, chow chow",http://wordnet-rdf.princeton.edu/wn30/02112137-n
261,02112350-n,keeshond,http://wordnet-rdf.princeton.edu/wn30/02112350-n
262,02112706-n,Brabancon griffon,http://wordnet-rdf.princeton.edu/wn30/02112706-n
263,02113023-n,"Pembroke, Pembroke Welsh corgi",http://wordnet-rdf.princeton.edu/wn30/02113023-n
264,02113186-n,"Cardigan, Cardigan Welsh corgi",http://wordnet-rdf.princeton.edu/wn30/02113186-n
265,02113624-n,toy poodle,http://wordnet-rdf.princeton.edu/wn30/02113624-n
266,02113712-n,miniature poodle,http://wordnet-rdf.princeton.edu/wn30/02113712-n
267,02113799-n,standard poodle,http://wordnet-rdf.princeton.edu/wn30/02113799-n
268,02113978-n,Mexican hairless,http://wordnet-rdf.princeton.edu/wn30/02113978-n
269,02114367-n,"timber wolf, grey wolf, gray wolf, Canis lupus",http://wordnet-rdf.princeton.edu/wn30/02114367-n
270,02114548-n,"white wolf, Arctic wolf, Canis lupus tundrarum",http://wordnet-rdf.princeton.edu/wn30/02114548-n
271,02114712-n,"red wolf, maned wolf, Canis rufus, Canis niger",http://wordnet-rdf.princeton.edu/wn30/02114712-n
272,02114855-n,"coyote, prairie wolf, brush wolf, Canis latrans",http://wordnet-rdf.princeton.edu/wn30/02114855-n
273,02115641-n,"dingo, warrigal, warragal, Canis dingo",http://wordnet-rdf.princeton.edu/wn30/02115641-n
274,02115913-n,"dhole, Cuon alpinus",http://wordnet-rdf.princeton.edu/wn30/02115913-n
275,02116738-n,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",http://wordnet-rdf.princeton.edu/wn30/02116738-n
276,02117135-n,"hyena, hyaena",http://wordnet-rdf.princeton.edu/wn30/02117135-n
277,02119022-n,"red fox, Vulpes vulpes",http://wordnet-rdf.princeton.edu/wn30/02119022-n
278,02119789-n,"kit fox, Vulpes macrotis",http://wordnet-rdf.princeton.edu/wn30/02119789-n
279,02120079-n,"Arctic fox, white fox, Alopex lagopus",http://wordnet-rdf.princeton.edu/wn30/02120079-n
280,02120505-n,"grey fox, gray fox, Urocyon cinereoargenteus",http://wordnet-rdf.princeton.edu/wn30/02120505-n
281,02123045-n,"tabby, tabby cat",http://wordnet-rdf.princeton.edu/wn30/02123045-n
282,02123159-n,tiger cat,http://wordnet-rdf.princeton.edu/wn30/02123159-n
283,02123394-n,Persian cat,http://wordnet-rdf.princeton.edu/wn30/02123394-n
284,02123597-n,"Siamese cat, Siamese",http://wordnet-rdf.princeton.edu/wn30/02123597-n
